BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
60505.51019,969.64318,R,35.4,14,1.191817865406879,0.193917098842002,0,0.0,26.50714285714286,0.0,838.0752142857143,0.113445738642866,0.785714285708674,0.0,0.044349918151732,R,"secondary, tertiary"
121391.097,1423.85202,R,18.0,11,0.435470691891021,0.087094138378204,0,0.0,18.0,0.0,961.1320909090908,0.004307464366138,0.181818181816529,0.0,0.191049603382027,"A, B, R","secondary, tertiary"
72651.15292,1066.81425,R,54.0,8,0.823549064195635,0.083816866701418,3,54.0,39.0,0.0,761.174,0.022272638063303,0.624999999992187,1.0,0.004695317437765,"B, R","secondary, tertiary"
345397.4472,2360.94439,M,18.0,26,0.468072721181363,0.15407776876007,0,0.0,13.673076923076923,0.0,2046.8487692307692,0.028985424841541,0.192307692306953,0.0,0.353251713435156,B,"secondary, tertiary"
93091.82606,1254.33484,B,18.0,5,1.81991236148709,0.363982472297418,0,0.0,18.0,0.0,6776.758600000001,0.004702570320699,0.199999999996,0.0,0.389186692393193,"B, R","primary, secondary, tertiary"
57830.38608,949.03273,R,27.0,13,0.735753068311523,0.134136092214033,0,0.0,18.692307692307693,0.0,596.7032307692308,0.064857837498906,0.769230769224852,0.0,0.011359855902459,R,"secondary, tertiary"
87628.32849,1221.46194,R,55.0,11,1.077230943766916,0.092264409687133,7,53.795857142857145,42.715545454545456,1.236233499508132,734.9978181818182,0.008420829557101,0.454545454541322,0.714285714285714,0.129906341378489,"B, R, M","primary, secondary, tertiary"
128126.7639,1447.4707,A,30.0,13,1.312779741563425,0.258221085064024,0,0.0,19.26923076923077,0.0,2545.0024615384614,0.022199566441056,0.15384615384497,0.0,0.140273397114782,R,"secondary, tertiary"
77627.47342,1096.23857,R,18.0,18,0.930266590145064,0.186053318029013,0,0.0,18.0,0.0,802.3805,0.110522892891887,0.333333333331482,0.0,0.0,"B, R","secondary, tertiary"
81889.13518,1266.44707,R,54.0,11,1.316522817868645,0.134619580189344,4,51.0,39.0,3.0,1002.1709999999999,0.077372729938317,0.545454545449587,0.75,0.073717962809732,"R, M","primary, secondary, tertiary"
76532.80105,1134.30531,R,56.4,12,1.091531315382321,0.109443844797054,5,56.129999999999995,43.219500000000004,0.166132477258361,698.0036666666666,0.081479256642697,0.666666666661111,0.4,0.036376343429683,R,"primary, secondary, tertiary"
244413.5355,1957.91422,R,60.0,70,1.013425089135458,0.162042204082433,4,60.0,21.58297142857143,0.0,565.7901142857143,0.068119949142422,0.214285714285408,0.0,0.308821254668583,"A, B, R","secondary, tertiary"
102562.0266,1277.18888,R,55.2,15,0.96585733808033,0.095078795956631,4,54.83125,38.141466666666666,0.332309625951462,650.0982666666666,0.052055313947353,0.466666666663556,0.5,0.019810707143465,"A, B, R","primary, secondary, tertiary"
476550.3764,3169.62076,M,18.0,18,0.550845041783499,0.173568682549046,0,0.0,14.092166666666666,0.0,4595.2345000000005,0.011948722042092,0.222222222220988,0.0,0.407413530676312,"B, R, M","primary, secondary, tertiary"
259133.6753,2020.03862,R,27.0,76,0.823715535053039,0.184370240358336,0,0.0,15.457671052631577,0.0,628.6386578947369,0.044003935160627,0.02631578947365,0.0,0.524741705322587,"A, B, R","trunk, secondary, tertiary"
