BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
33632.331,748.323,R,18.0,1,0.003646966961642,0.00091174174041,0,0.0,18.0,0.0,30.664,0.00041920969785,0.9999999999,0.0,0.444828019079141,"B, R","secondary, residential"
19905.115,574.845,R,36.0,12,2.12138498069466,0.425049189617844,0,0.0,22.5,0.0,705.0544166666667,0.362344429393583,0.999999999991667,0.0,0.623099497384242,"B, R, U",tertiary
5081.669,296.861,R,18.0,4,1.823267906666097,0.455816976666524,0,0.0,18.0,0.0,579.0777499999999,0.212680415273843,0.999999999975,0.0,0.475843861933702,"A, B, G, R","secondary, tertiary"
4186.751,269.075,R,18.0,6,2.50431109946591,0.773203374167702,0,0.0,13.0,0.0,539.535,0.21792556225572,0.833333333319444,0.0,0.393386878414064,"B, G, R, U","secondary, tertiary"
20910.817,604.768,R,66.0,8,1.071436711439826,0.180100519267133,1,66.0,24.0,0.0,470.756125,0.114676556541396,0.874999999989063,1.0,0.439184556497643,"B, R, U","secondary, residential"
7008.111,470.704,R,18.0,12,2.030214418692855,0.530994015363056,0,0.0,14.333333333333334,0.0,310.10541666666666,0.300338619114491,0.999999999991667,0.0,0.381279052139939,"B, R","primary, residential"
1304.124,217.015,R,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.452027997336797,R,primary
9350.411,476.696,R,18.0,9,3.420875510178109,0.855218877544527,0,0.0,18.0,0.0,888.5164444444445,0.516684976702138,0.999999999988889,0.0,0.469484032055808,R,"primary, secondary"
20660.398,602.232,R,18.0,8,3.656559181483339,0.914139795370835,0,0.0,18.0,0.0,2360.8115000000003,0.61909266751998,0.874999999989063,0.0,0.360368694716513,"A, B, G, R","primary, tertiary"
618.939,132.918,R,18.0,1,9.527329833796223,2.381832458449056,0,0.0,18.0,0.0,1474.209,0.716330688484649,0.9999999999,0.0,0.445259012350877,R,primary
6378.672,339.349,R,18.0,3,1.794185999844482,0.448546499961121,0,0.0,18.0,0.0,953.7103333333334,0.311932599435524,0.666666666644444,0.0,0.192043107065762,"B, G",residential
2580.13,245.409,R,18.0,4,1.600560436877211,0.758580769186049,0,0.0,12.75,0.0,489.30924999999996,0.350403222039822,0.999999999975,0.0,0.347978533837134,"A, B, R",residential
11443.792,596.087,R,213.0,7,5.418512587436052,0.809031307105197,1,213.0,45.857142857142854,0.0,1322.6265714285714,0.624663568737897,0.71428571427551,1.0,0.43456229991413,"A, R",primary
6553.421,333.695,R,66.0,1,5.160027869413547,0.344001857960903,1,66.0,66.0,0.0,2254.389,0.064805797692281,0.9999999999,1.0,0.3688338465299,"B, R",tertiary
32466.114,735.386,R,66.0,14,2.21346669330367,0.254804255292149,1,66.0,21.428571428571427,0.0,590.893142857143,0.089916547152879,0.357142857140306,1.0,0.622362821557955,"A, R","secondary, tertiary"
11986.216,489.617,R,12.0,1,1.483992863135455,0.494664287711818,0,0.0,12.0,0.0,5929.153,0.139826593671642,0.9999999999,0.0,0.485180609343689,"A, B, R","secondary, tertiary"
22357.67,663.713,R,18.0,6,1.193511622633307,0.331626327788182,0,0.0,17.0,0.0,1235.732,0.06213780731622,0.833333333319444,0.0,0.38438873734118,"A, B, R","secondary, tertiary"
33254.666,744.625,R,66.0,7,2.124760747860165,0.233802979708171,3,66.0,40.285714285714285,0.0,1110.72,0.091447593821958,0.428571428565306,0.333333333333333,0.589941117889925,"A, B","secondary, residential"
23750.195,680.231,R,66.0,7,1.65573293187698,0.211423400944708,2,66.0,27.714285714285715,0.0,717.3352857142856,0.065958164139539,0.571428571420408,0.5,0.547407944458159,"A, B, U","secondary, tertiary"
31471.034,720.517,R,66.0,21,2.433966453088259,0.285496847672689,2,65.5,22.523809523809526,0.5,427.85147619047626,0.119708963966323,0.380952380950567,1.0,0.806075045281255,A,"secondary, tertiary"
20140.484,591.165,R,66.0,6,2.631263925931472,0.212461180178192,4,66.0,50.0,0.0,713.1785,0.095711886364116,0.999999999983333,1.0,0.631968132543105,"A, B, R","secondary, tertiary, residential"
35616.17,768.564,R,199.0,10,0.984997432346038,0.216709601285034,2,189.0,51.6,10.0,771.8366,0.093029065999624,0.599999999994,0.5,0.774005111600536,R,"secondary, tertiary, residential"
13009.341,752.019,R,18.0,17,3.161175343163039,0.79029383579076,0,0.0,18.0,0.0,604.7765882352941,0.571006631737529,0.941176470582699,0.0,0.916105083825876,"A, G, R","tertiary, residential"
8061.074,478.673,R,36.0,3,2.414418227645597,0.325410733110749,0,0.0,24.0,0.0,874.3866666666668,0.104387553920963,0.666666666644444,0.0,0.818402493924119,"A, B, R, U","primary, tertiary, residential"
4422.179,276.538,B,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624201118979437,"B, R",residential
6288.462,329.924,B,13.0,3,1.764927576886049,0.58830919229535,0,0.0,13.0,0.0,1233.1866666666667,0.347898375166115,0.999999999966667,0.0,0.530920833880918,"B, R","primary, residential"
6254.515,401.171,B,18.0,2,2.309272581487134,0.577318145371783,0,0.0,18.0,0.0,1805.4225,0.43548820491588,0.99999999995,0.0,0.633227480086563,"A, B","primary, tertiary"
6121.106,322.592,B,30.0,7,1.794234734703173,0.40728766990802,0,0.0,21.142857142857142,0.0,356.15014285714284,0.374982494577762,0.857142857130612,0.0,0.42321455839176,"B, R","primary, residential"
7293.615,350.165,B,100.0,1,12.063444259122534,0.548338375414661,1,100.0,100.0,0.0,3999.369,0.241733550987127,0.9999999999,1.0,0.337404005306752,"B, R","primary, secondary, residential"
3862.469,256.065,B,100.0,3,3.209585889233026,0.509569397191278,2,100.0,70.66666666666667,0.0,656.0653333333333,0.251256004258893,0.666666666644444,0.5,0.685294848253644,"R, U",primary
11455.863,476.784,B,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449334431788914,"A, B","primary, secondary, tertiary"
18268.073,559.953,B,18.0,1,0.013458890820066,0.003364722705017,0,0.0,18.0,0.0,61.467,0.001597951050697,0.9999999999,0.0,0.510669701368215,"A, B, R","secondary, tertiary"
8044.914,370.482,B,18.0,3,2.724643420675473,0.68561018800201,0,0.0,17.0,0.0,1838.5583333333332,0.426471717185619,0.999999999966667,0.0,0.192825060836258,B,"primary, secondary"
8055.943,368.644,B,18.0,3,2.825291092551176,0.706322773137794,0,0.0,18.0,0.0,1896.6986666666664,0.507164206112969,0.999999999966667,0.0,0.243453398119425,B,"primary, secondary, tertiary"
6674.511,344.628,B,18.0,2,2.537226772118586,0.634306693029647,0,0.0,18.0,0.0,2116.8435,0.244469999990146,0.99999999995,0.0,0.309804151669438,"B, U","primary, secondary"
2878.322,252.218,B,18.0,1,2.115438092055024,0.528859523013756,0,0.0,18.0,0.0,1522.228,0.34765192967289,0.9999999999,0.0,0.57498012543001,"A, B, G",primary
