BLA,BLP,LU,BL,SBLU,SLR
4767.337,378.146,E,0.305393699535041,"E, G, R","secondary, tertiary"
2193.694,343.224,G,0.313604904989803,"E, G, R","secondary, tertiary"
1589.113,338.174,G,0.298628963622164,"E, G, R","secondary, tertiary"
28586.12,672.29,R,0.271012480948145,"E, G","primary, secondary, tertiary"
11471.137,422.31,B,0.076841554197679,"A, B","primary, tertiary"
13038.227,452.735,B,0.183565336244575,"A, B, G","secondary, tertiary"
8111.952,360.927,G,0.326493495289357,"B, G","secondary, tertiary"
14872.916,484.258,B,0.081775950691731,"B, G, R",tertiary
5384.382,293.015,A,0.318956644246372,"A, G, R",tertiary
31432.776,789.81,A,0.345445677797028,"A, E, G, R",tertiary
15231.391,498.971,B,0.286929124091304,"B, G","secondary, tertiary"
7848.817,411.461,B,0.337945979378676,"B, G","secondary, tertiary"
7709.746,412.475,G,0.318106077775377,"B, G","secondary, tertiary"
25870.808,632.242,B,0.688508786499326,"A, B, E, G","secondary, tertiary"
3497.543,261.905,A,0.702585520299305,"A, R",tertiary
29343.65,679.119,A,0.755520964171104,"A, G, R","primary, tertiary"
4079.26,835.1,G,0.797515450093885,"A, G, R","primary, tertiary"
1027.267,221.348,G,0.42242481809762,"E, G","primary, tertiary"
25998.727,936.209,G,0.324800106785486,"A, G, R","primary, secondary, tertiary"
9942.906,400.859,B,0.336038958590571,"E, G","primary, tertiary"
666.268,278.177,G,0.380329957309282,"E, G","primary, tertiary"
21346.564,581.174,R,0.106206664879663,"A, G, R","primary, tertiary"
20119.835,596.928,R,0.513530696017155,"G, R","primary, tertiary"
25406.84,699.417,R,0.426351384465362,"A, G, R","primary, tertiary"
6784.602,337.179,A,0.350324740329542,"A, B, G",tertiary
17512.72,552.253,A,0.328767104266691,"A, G","primary, tertiary"
16657.906,526.467,R,0.278982205156612,"A, B, R","primary, secondary, tertiary"
12455.42,477.337,G,0.402068092414801,"G, R","primary, secondary, tertiary"
12119.458,435.972,R,0.04621333143076,"B, R","primary, tertiary"
21840.816,589.956,G,0.108064010345927,"A, R","primary, tertiary"
17820.936,537.227,R,0.174251775611164,"B, R","primary, tertiary"
15226.261,492.882,B,0.020014112884994,"B, G","primary, tertiary"
11775.445,426.595,B,0.037860201142526,"B, G","primary, secondary, tertiary"
12273.322,435.756,B,0.021205076080376,"B, G","primary, secondary, tertiary"
12224.847,437.4,B,0.020143630184162,"B, G","primary, tertiary"
13246.267,459.583,B,0.010469928605385,"B, G","primary, tertiary"
29315.306,686.047,R,0.157253971391304,"B, E, G","primary, tertiary"
10710.813,407.787,B,0.115371107038824,"A, B, G","secondary, tertiary"
12294.598,436.603,B,0.198867871289924,"B, G","secondary, tertiary"
7449.88,342.974,G,0.355740014727151,"B, G","primary, secondary, tertiary"
12060.561,434.136,B,0.19439411541837,"A, B","primary, secondary, tertiary"
9305.41,388.208,R,0.144735072683936,"A, B, G, R","secondary, tertiary"
10976.485,415.531,B,0.307903235799872,"B, G","secondary, tertiary"
2506.067,220.765,E,0.475105599990325,"B, E, G",tertiary
7191.032,342.059,G,0.525131293706227,"E, G","secondary, tertiary"
18313.971,543.837,R,0.125071634798207,"B, G, R","primary, tertiary"
19829.648,569.755,R,0.191231879611596,"A, G, R","primary, tertiary"
6543.2,327.002,B,0.09106958054628,"B, E, G, R","primary, tertiary"
13156.787,498.505,R,0.418425003102167,"A, E, G, R",tertiary
12843.129,446.744,B,0.018634206738634,"B, R","primary, secondary, tertiary"
12894.633,454.249,R,0.048229708091114,"B, G, R","primary, tertiary"
8256.913,357.58,B,0.122637242606698,"B, G","primary, secondary, tertiary"
10631.62,405.166,B,0.011010453798669,"B, G","primary, tertiary"
1291.634,172.134,G,0.094806520599671,"B, E, G","primary, tertiary"
32103.299,716.79,R,0.366442687701432,"A, E, G, R","secondary, tertiary"
10293.151,402.351,B,0.258953795407467,"B, G",tertiary
13999.219,487.273,B,0.24310933703403,"B, G","secondary, tertiary"
13448.092,458.912,B,0.325792581781846,"B, G",tertiary
784.057,176.122,G,0.459340948261882,"B, G",tertiary
14072.356,489.965,B,0.443713043298987,"B, G","secondary, tertiary"
10751.499,408.339,B,0.06523668745797,"B, G, R","primary, tertiary"
15375.88,505.226,R,0.442892660581056,"A, G, R",tertiary
35158.062,721.422,A,0.24844239618923,"A, G","primary, secondary, tertiary"
24825.567,676.931,G,0.2049659417445,"A, B, G",tertiary
20620.584,583.615,R,0.264135980172012,"B, G, R",tertiary
10911.206,410.766,B,0.224347880946066,"B, G","primary, secondary, tertiary"
8047.952,361.182,G,0.329222315463349,"B, G","secondary, tertiary"
12898.247,446.732,R,0.14194368586563,"B, R","primary, secondary, tertiary"
8667.226,372.878,B,0.106972364325851,"B, G, R","primary, tertiary"
18416.587,552.867,B,0.590033791778044,"A, B, U","secondary, tertiary"
10322.201,440.294,B,0.500516847723143,B,"secondary, tertiary"
4906.795,296.712,U,0.704708398324862,"E, G, U",secondary
11001.99,427.518,U,0.620211598322548,"E, G, U",secondary
20530.284,629.484,A,0.369553253474515,"B, G","secondary, tertiary"
34426.036,1000.53,G,0.300757889549405,"B, G","primary, secondary, tertiary"
